Gender	Age	Married	Number of Dependents	City	Zip Code	Latitude	Longitude	Population	Number of Referrals	Tenure in Months	Offer	Phone Service	Avg Monthly Long Distance Charges	Multiple Lines	Internet Service	Internet Type	Avg Monthly GB Download	Online Security	Online Backup	Device Protection Plan	Premium Tech Support	Streaming TV	Streaming Movies	Streaming Music	Unlimited Data	Contract	Paperless Billing	Payment Method	Monthly Charge	Total Charges	Total Refunds	Total Extra Data Charges	Total Long Distance Charges	Total Revenue	Churn Label
1.0	0.9672131147540983	0.0	0.0	0.5013574660633484	0.0034151894617010896	0.1560637185783695	0.6078852083564372	0.652487793757243	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.09411764705882353	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.21293532338308457	0.002400198477951061	0.0	0.13333333333333333	0.0	0.003181205797421417	1.0
0.0	0.9016393442622951	1.0	0.1111111111111111	0.5013574660633484	0.010082940315498456	0.15823896306081733	0.6050504571858596	0.5286870452343408	0.09090909090909091	0.09859154929577464	1.0	1.0	0.9771954390878176	1.0	1.0	0.6666666666666666	0.2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.5	0.6208955223880598	0.07090394013351105	0.0	0.0	0.10962992885836757	0.0838361461581755	1.0
1.0	0.8524590163934426	0.0	0.3333333333333333	0.5013574660633484	0.010408196454708083	0.16510266152500555	0.6006503852066257	0.45142200353363604	0.0	0.23943661971830985	0.8	1.0	0.22664532906581317	1.0	1.0	0.6666666666666666	0.611764705882353	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.7681592039800995	0.20005885102037288	0.9160473990761198	0.0	0.057210664512219754	0.15799570654296427	1.0
0.0	0.9672131147540983	1.0	0.1111111111111111	0.40542986425339367	0.049113677020653765	0.14675942153231555	0.5904684298940961	0.26375933278872277	0.09090909090909091	0.3380281690140845	0.6	1.0	0.39527905581116224	0.0	1.0	0.6666666666666666	0.1411764705882353	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.7985074626865671	0.2879834293989696	0.2697328780879695	0.0	0.13858030925290069	0.24866425316510743	1.0
0.0	1.0	1.0	0.1111111111111111	0.9701357466063348	0.09773946983249308	0.1505683585010428	0.6213782480060535	0.24938731310675	0.09090909090909091	0.5070422535211268	0.6	1.0	0.126625325065013	1.0	1.0	0.6666666666666666	0.16470588235294117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5796019900497512	0.3287925732320173	0.0	0.0	0.06570221504073252	0.2576366919139335	1.0
0.0	0.8688524590163934	0.0	0.1111111111111111	0.6805429864253394	0.10717189786957229	0.15241871431048537	0.6145413089674994	0.6010695898322472	0.0	0.36619718309859156	0.6	1.0	0.0666133226645329	1.0	1.0	0.6666666666666666	0.21176470588235294	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5950248756218905	0.24424904367091899	0.0	0.06666666666666667	0.025222177337911534	0.18513547303710653	1.0
0.0	0.9344262295081968	1.0	0.2222222222222222	0.4986425339366516	0.11692958204586111	0.1317374665636293	0.6168866686168468	0.20263312878773487	0.09090909090909091	0.0	1.0	1.0	0.30566113222644525	0.0	1.0	0.6666666666666666	0.35294117647058826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5194029850746269	0.0059543385318401336	0.0	0.0	0.004286451670818465	0.005362221759481106	1.0
1.0	0.7704918032786885	1.0	0.0	0.8334841628959276	0.16636851520572452	0.1714657380123683	0.617686591770407	0.10018618082337519	0.5454545454545454	0.8028169014084507	0.4	0.0	0.0	0.0	1.0	0.3333333333333333	0.2823529411764706	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.2691542288557214	0.30375781074204217	0.8224543080939949	0.0	0.0	0.21648255981695522	1.0
0.0	0.8360655737704918	0.0	0.2222222222222222	0.6642533936651583	0.17970401691331925	0.16835250506070432	0.6106476439414035	0.22542128160799438	0.0	0.19718309859154928	0.8	1.0	0.8815763152630526	1.0	1.0	0.6666666666666666	0.2235294117647059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5592039800995026	0.13003190648457472	0.0	0.0	0.18544233488184206	0.1492875319981301	1.0
0.0	0.9508196721311475	0.0	0.2222222222222222	0.6642533936651583	0.17986664498292404	0.17043674669495448	0.6147338207726976	0.3073693409578813	0.0	0.08450704225352113	1.0	1.0	0.5391078215643128	0.0	1.0	0.6666666666666666	0.21176470588235294	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5791044776119403	0.05593731789359505	0.22193211488250655	0.0	0.052921407571983214	0.0551601349085487	1.0
0.0	0.9672131147540983	0.0	0.1111111111111111	0.611764705882353	0.2608554236461213	0.1755703279259997	0.5838024365900636	0.5427265991602865	0.0	0.14084507042253522	0.8	1.0	0.23184636927385477	0.0	1.0	0.6666666666666666	0.3411764705882353	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.763681592039801	0.12710089488169216	0.0	0.8	0.035764379811037056	0.1125782234588003	1.0
1.0	0.7540983606557377	0.0	0.0	0.20633484162895926	0.27988290778988456	0.16388135227255674	0.6326017060344744	0.3211239242358037	0.0	0.19718309859154928	0.8	1.0	0.5823164632926585	0.0	1.0	0.6666666666666666	0.3411764705882353	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5587064676616916	0.12179276363237732	0.0	0.0	0.12249208914024103	0.12455039543458499	1.0
1.0	0.9508196721311475	1.0	0.0	0.26244343891402716	0.28150918848593265	0.16145181011150087	0.6219290731506288	0.5951042042669605	0.09090909090909091	0.0	1.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.1411764705882353	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.218407960199005	0.0024636652646276526	0.0	0.0	0.0	0.0015546428962687738	1.0
1.0	0.7868852459016393	0.0	0.0	0.4461538461538462	0.28378598146040007	0.15767678658737116	0.6242289264123135	0.2924843741094667	0.0	0.028169014084507043	1.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.32941176470588235	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.22786069651741292	0.013079927763257348	0.0	0.0	0.0	0.00924841086058976	1.0
1.0	0.8032786885245902	0.0	0.0	0.7583710407239819	0.2841112375996097	0.15106100709747833	0.6335285524388408	0.4400991697855121	0.0	0.16901408450704225	0.8	1.0	0.6537307461492298	1.0	1.0	0.0	0.12941176470588237	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.882089552238806	0.1552570693345796	0.0	0.06666666666666667	0.11917906595749456	0.14865112358282048	1.0
0.0	0.8032786885245902	0.0	0.0	0.6352941176470588	0.2867132867132867	0.1614087538573885	0.6623903852521313	0.46985010543913974	0.0	0.2112676056338028	0.8	1.0	0.1886377275455091	0.0	1.0	0.6666666666666666	0.10588235294117647	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.7582089552238807	0.172208471085109	0.0	0.0	0.04232590497991427	0.13718908187423534	1.0
1.0	0.7704918032786885	0.0	0.0	0.014479638009049774	0.3089933322491462	0.028848328125653272	0.7516114949530952	0.1564963808727701	0.0	0.09859154929577464	0.0	1.0	0.035607121424284856	0.0	1.0	0.6666666666666666	0.08235294117647059	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5597014925373134	0.06781714641787687	0.0	0.0	0.0039947036513386745	0.0501081727050201	1.0
1.0	0.819672131147541	0.0	0.0	0.7728506787330317	0.34493413563181	0.03204257062209089	0.7015500168126325	0.3314303626726447	0.0	0.323943661971831	0.6	1.0	0.6175235047009402	1.0	1.0	0.6666666666666666	0.17647058823529413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5756218905472636	0.1954603938402599	0.0	0.0	0.20783680064633409	0.2033805747411925	1.0
0.0	0.9016393442622951	0.0	0.0	0.7728506787330317	0.34493413563181	0.03204257062209089	0.7015500168126325	0.3314303626726447	0.0	0.04225352112676056	1.0	1.0	0.6323264652930586	1.0	1.0	0.6666666666666666	0.023529411764705882	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.7681592039800995	0.04353244595226144	0.0	0.0	0.03546982652213919	0.04189173028660122	1.0
